Date,High,Vol.,Low,Price,Chg. %,Open,
30/06/2019,1465.50,0.10K,1424.40,1436.60,-0.71%,1444.00,
23/06/2019,1473.90,0.26K,1439.00,1446.80,0.98%,1439.10,
16/06/2019,1444.00,0.72K,1379.70,1432.70,3.71%,1379.70,
09/06/2019,1389.20,0.06K,1367.00,1381.50,-0.03%,1378.00,
02/06/2019,1388.50,0.39K,1356.50,1381.90,2.39%,1356.50,
26/05/2019,1347.80,0.66K,1322.60,1349.60,1.47%,1322.60,
19/05/2019,1329.20,0.12K,1320.10,1330.10,0.57%,1324.20,
12/05/2019,1350.20,0.19K,1322.50,1322.50,-1.10%,1350.20,
05/05/2019,1338.00,0.05K,1334.00,1337.20,0.41%,1334.00,
28/04/2019,1335.70,0.00K,1323.00,1331.70,-0.56%,1331.60,
21/04/2019,1339.20,0.01K,1323.80,1339.20,0.93%,1328.50,
14/04/2019,1342.40,0.05K,1326.90,1326.90,-1.44%,1342.40,
07/04/2019,1363.90,0.00K,1346.30,1346.30,0.08%,1351.90,
31/03/2019,1345.20,0.00K,1340.80,1345.20,-0.06%,1342.70,
24/03/2019,1354.10,0.15K,1342.20,1346.00,-1.70%,1348.00,
17/03/2019,1368.20,0.03K,1368.20,1369.30,0.64%,1368.20,
10/03/2019,1350.00,0.00K,1350.00,1360.60,0.15%,1350.00,
03/03/2019,1358.50,0.00K,1358.50,1358.50,0.01%,1358.50,
24/02/2019,1374.00,0.01K,1374.00,1358.30,-2.46%,1374.00,
17/02/2019,1388.00,0.20K,1388.00,1392.50,0.82%,1388.00,
10/02/2019,1381.20,0.07K,1381.20,1381.20,0.25%,1381.20,
03/02/2019,1377.80,0.09K,1377.80,1377.80,-0.24%,1377.80,
27/01/2019,1382.60,0.14K,1377.60,1381.10,1.25%,1377.60,
20/01/2019,1360.00,0.01K,1360.00,1364.00,1.18%,1360.00,
13/01/2019,1348.10,0.03K,1348.10,1348.10,-0.54%,1348.10,
