Date,High,Vol.,Low,Price,Chg. %,Open,
27/04/2021,1789.00,0.01K,1785.80,1788.40,-0.07%,1789.00,
26/04/2021,1789.60,0.02K,1789.60,1789.60,0.13%,1789.60,
23/04/2021,1789.70,0.02K,1782.00,1787.20,-0.25%,1789.70,
22/04/2021,1803.40,0.03K,1794.50,1791.70,-0.62%,1803.20,
21/04/2021,1790.10,0.02K,1790.00,1802.90,0.83%,1790.00,
20/04/2021,1787.80,0.00K,1787.80,1788.10,0.44%,1787.80,
19/04/2021,1783.00,0.00K,1780.10,1780.30,-0.53%,1780.10,
16/04/2021,1784.70,0.00K,1784.70,1789.70,0.75%,1784.70,
15/04/2021,1776.00,0.00K,1776.00,1776.40,1.75%,1776.00,
14/04/2021,1755.60,0.03K,1745.80,1745.80,-0.63%,1755.00,
13/04/2021,1754.60,0.02K,1733.10,1756.90,0.86%,1733.10,
12/04/2021,1740.40,0.01K,1740.40,1742.00,-0.68%,1740.40,
09/04/2021,1756.20,0.01K,1755.10,1754.00,-0.75%,1755.10,
08/04/2021,1760.20,0.00K,1757.30,1767.30,0.97%,1757.30,
07/04/2021,1751.50,0.02K,1742.40,1750.30,-0.09%,1751.50,
06/04/2021,1748.50,0.05K,1738.00,1751.80,0.81%,1738.10,
05/04/2021,1737.20,0.01K,1737.20,1737.70,0.05%,1737.20,
01/04/2021,1739.90,0.00K,1732.00,1736.80,0.75%,1732.00,
31/03/2021,1723.10,0.02K,1688.40,1723.90,1.75%,1688.40,
30/03/2021,1700.00,0.02K,1693.50,1694.30,-1.68%,1700.00,
29/03/2021,1732.80,0.00K,1720.00,1723.30,-1.14%,1732.80,
26/03/2021,1740.50,0.00K,1728.10,1743.20,0.41%,1732.50,
25/03/2021,1745.10,0.01K,1745.10,1736.10,-0.46%,1745.10,
24/03/2021,1742.40,0.00K,1742.20,1744.20,0.44%,1742.40,
23/03/2021,1738.00,0.01K,1734.30,1736.50,-0.74%,1738.00,
22/03/2021,1746.50,0.00K,1736.80,1749.40,-0.18%,1746.50,
19/03/2021,1752.40,0.11K,1742.10,1752.60,0.52%,1752.40,
18/03/2021,1744.70,0.00K,1744.70,1743.50,0.35%,1744.70,
17/03/2021,1750.40,0.32K,1737.00,1737.50,-0.25%,1737.80,
16/03/2021,1748.90,0.00K,1748.90,1741.80,0.09%,1748.90,
15/03/2021,1738.30,0.23K,1733.60,1740.30,0.57%,1737.50,
12/03/2021,1733.50,0.01K,1733.50,1730.50,-0.22%,1733.50,
11/03/2021,1745.70,0.00K,1729.10,1734.40,0.03%,1745.70,
10/03/2021,1728.00,0.40K,1723.70,1733.90,0.23%,1726.60,
09/03/2021,1728.60,0.01K,1720.10,1729.90,2.27%,1720.10,
08/03/2021,1718.50,0.25K,1687.20,1691.50,-1.25%,1718.50,
05/03/2021,1700.00,0.00K,1700.00,1712.90,-0.08%,1700.00,
04/03/2021,1724.80,0.01K,1704.00,1714.30,-0.86%,1723.50,
03/03/2021,1728.80,0.00K,1728.80,1729.20,-1.01%,1728.80,
02/03/2021,1737.20,0.00K,1727.90,1746.90,0.62%,1737.20,
01/03/2021,1736.60,0.00K,1736.50,1736.20,-0.36%,1736.50,
26/02/2021,1750.10,0.02K,1737.10,1742.50,-2.54%,1749.50,
25/02/2021,1802.10,0.00K,1802.10,1787.90,-1.11%,1802.10,
24/02/2021,1819.70,0.01K,1798.80,1808.00,-0.41%,1819.70,
23/02/2021,1815.80,0.02K,1803.80,1815.50,-0.14%,1815.80,
22/02/2021,1819.00,0.00K,1797.00,1818.00,1.68%,1797.00,
19/02/2021,1777.20,0.00K,1777.20,1787.90,0.13%,1777.20,
18/02/2021,1789.30,0.00K,1789.30,1785.60,0.10%,1789.30,
17/02/2021,1780.00,0.00K,1780.00,1783.80,-1.46%,1780.00,
16/02/2021,1819.80,0.02K,1808.20,1810.20,-0.47%,1819.80,
15/02/2021,1827.00,0,1815.60,1818.75,-0.13%,1820.90,
14/02/2021,1826.30,0,1820.15,1821.05,-0.72%,1822.45,
Open:1822.45,Highest:1922.40,Lowest:1682.40,Chg. %:1.43%,
